Name,Status,Type,Author,Notes
On Tennis,Read,games; biography,David Foster Wallace,
Multiagent Systems: A Modern Approach to Distributed Artificial Intelligence,Read,agent-based-modelling,,
The One-Straw Revolution,Read,agroecology,,
Green Development: Environment and sustainability in the Third World,Want to read,agroecology,,
Finding the Mother Tree,Want to read,agroecology,,
The Omnivore’s Dilemma ,Stalled,agroecology; anthropology,,
Organic Manifesto: How Organic Farming Can Heal Our Planet Feed the World and Keep Us Safe,Want to read,agroecology; economics,,
Technological Slavery,Read,anarchism,,
Steal This Book,Read,anarchism,,
Rules Without Rulers,Reading,anarchism,,
Anarcho-syndicalism: Theory and Practice,Reading,anarchism,,
On Anarchism,Stalled,anarchism,Chomsky,
Walden,Read,anarchism; biography; climate,,
Plunder of the Commons,Read,anarchism; climate; coordination; economics,Guy Standing,
V for Vendetta,Read,anarchism; comics; fiction,,
A Networked Self: Identity Community and Culture on Social Network Sites,Want to read,anarchism; computer-science; psychology,,
Ferramentas para Autonomia,Stalled,anarchism; coordination,,
Community Rules,Read,anarchism; coordination; open-source,,
Markets Not Capitalism,Reading,anarchism; economics,,
Banqueiro Anarquista,Read,anarchism; economics; fiction,,
Ethics: Origin and Development,Want to read,anarchism; philosophy,Peter Kropotkin,
The Mushroom at the End of the World,Want to read,anthropology,,
A Queda do Céu,Reading,anthropology,,
Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,Want to read,anthropology,James C. Scott,
Moral Tribes: Emotion Reason and the Gap Between Us and Them,Want to read,anthropology,,
African Fractals,Want to read,anthropology; art,,
The Secret of Our Success: How Culture Is Driving Human Evolution; Domesticating Our Species; and Making Us Smarter,Want to read,anthropology; behaviorism; evolution; history; psychology,Joseph Henrich,
Behave,Stalled,anthropology; behaviorism; neuroscience; psychology; questionable-research,,
A Billion Wicked Thoughts: What the Internet Tells Us About Sexual Relationships,Want to read,anthropology; computer-science,,
Technology of the Oppressed: Inequity and the Digital Mundane in Favelas of Brazil,Want to read,anthropology; computer-science,,
Discipline and Punish: The Birth of the Prison,Want to read,anthropology; coordination,Foucault,
The Collapse of Complex Societies,Want to read,anthropology; coordination; economics; history,Joseph A. Tainter,
The Collapse of Complex Societies,Want to read,anthropology; coordination; history,Joseph A. ,
Cosmos,Want to read,anthropology; cosmos; history,Carl Sagan,
Capital and Ideology,Want to read,anthropology; economics; philosophy,Piketty,
The Social Conquest of Earth,Read,anthropology; evolution,E. O. Wilson,
Secret of Our Success ,Want to read,anthropology; evolution,,
On Human Nature,Want to read,anthropology; evolution; philosophy; psychology,E. O. Wilson,
Mitos e Lendas Nórdicas,Read,anthropology; fiction,,
Ishmael,Abandoned,anthropology; fiction; questionable-research,,
War and Peace and War: The Rise and Fall of Empires,Want to read,anthropology; history,Peter Turchin,
The Collapse of Complex Societies,Want to read,anthropology; history,Joseph Tainter,
Guns Germs and Steel,Read,anthropology; history; questionable-research,,
Ultrasociety,Want to read,anthropology; history; systems-theory,Peter Turchin,
A Brief History of Everyone Who Ever Lived: The Stories in Our Genes,Want to read,anthropology; neuroscience,,
The Dawn of Everything,Read,anthropology; philosophy,,
The Righteous Mind,Read,anthropology; philosophy; questionable-research,,
Sapiens,Abandoned,anthropology; questionable-research,Yuval Noah Harari,
Charles Evan’s Pocket Book to Watercolor Artists,Read,art,,
Color and Light,Reading,art,,
You Are an Artist: Assignments to Spark Creation,Reading,art,,
Cybernetics Art and Ideas,Want to read,art,,
The Creative Act,Abandoned,art,,
Asterios Polyp,Read,art; comics; fiction,,
10 PRINT CHR$(205.5+RND(1)); : GOTO 10,Want to read,art; computer-science; history,,
The Design of Everyday Things,Read,art; computer-science; psychology,,
Genetics and Analysis of Quantitative Traits,Want to read,behaviorism; evolution,,
Active Inference,Reading,behaviorism; math; neuroscience; physics; systems-theory,Thomas Parr,
The Bell Curve: Intelligence and Class Structure in American Life,Want to read,behaviorism; psychology; questionable-research,Herrnstein,
Surely You're Joking Mr. Feynman!,Read,biography,,
What Do You Care What Other People Think,Read,biography,,
Wir Kindern vom Zoo Bahnhof,Stalled,biography,Christiane F.,
Memories Dreams Reflections,Stalled,biography,Jung,
Deep Thinking,Read,biography,Kasparov,
The Confessions,Want to read,biography,,
The Book of Margery Kempe,Want to read,biography,,
Essays,Want to read,biography,Augustine,
Grace Abounding,Want to read,biography,Michel de Montaigne,
The Narrative of the Captivity and Restoration,Want to read,biography,,
The Autobiography of Benjamin Franklin,Want to read,biography,,
